Category,Subcategory,A,B,C,D,E,,,,
Responsiveness,Release Automation,The process the team uses is mostly automated,The Release to production can generally be performed without manual steps,"For this team, most of the Sprints result in an increment that can be released to users.",The majority of the Sprints of this team result in software that can be deployed to production.,,,,,
Responsiveness,Refinement,The Sprint Backlog of this team usually contains many small items.,"During the Sprint, this team spends time breaking down work for coming Sprints.","During the Sprint, this team spends time to clarify work for the next couple of Sprints.",,,,,,
Responsiveness,Release Frequency,The majority of the Sprints of this team result in an increment that can be delivered to stakeholders.,,,,,,,,
Continuous Improvement,Concern for Quality,Members of this team have a shared understanding of what quality means to them.,This team is always looking for ways to improve quality.,,,,,,,
Continuous Improvement,Sprint Retrospective Quality,The Sprint Retrospectives of this team generally result in at least one useful improvement.,This team uses Sprint Retrospectives to explore solutions for persistent challenges.,"During Sprint Retrospectives, this team openly talks about improvements.",,,,,,
Continuous Improvement,Learning Environment,"In and around this team, people are encouraged to learn new skills, techniques or practices.",Members from this team frequently meet with other teams to identify improvements.,,,,,,,
Continuous Improvement,Psychological Safety,"In and around this team, people give open and honest feedback to each other.","In and around this team, whenever people state their view, they also ask what others think.","In and around this team, people listen to the others' views before speaking.",,,,,,
Continuous Improvement,Team Conflict,There are often moments of tension between members of this team.,,,,,,,,
Continuous Improvement,Share Learning,This team frequently works with other groups or teams to solve shared problems.,,,,,,,,
Continuous Improvement,Metric Usage,Decisions about what this team does are often influenced by metrics.,This team often inspects metrics to identify process improvements.,,,,,,,
Stakeholders,Sprint Goals,This team generally has clear Sprint Goals.,People from this team often invite or visit people that use what this team works on.,,,,,,,
Stakeholders,Sprint Review Quality,Members of this team frequently meet with users or customers of what this team creates.,"During Sprint Reviews, stakeholders frequently try out what this team has been working on during the Sprint.",The Product Owner of this team uses the Sprint Review to collect feedback from stakeholders.,Most Sprint Reviews result in useful changes to the Product Backlog of this team.,,,,,
Stakeholders,Collaboration,"People in this team closely collaborate with users, customers and other stakeholders.",,,,,,,,
Stakeholders,Value Focus,This team frequently runs experiments or workshops to discover how people (want to) use the product.,Everyone in this team is familiar with the vision for the product.,The Product Owner of this team has a clear vision for the product.,The Product Backlog of this team is ordered with a strategy in mind.,The Product Owner of this team has a clear vision for the product.,,,,
Team Effectiveness,Team morale,I am proud of the work that I do for this team.,I am enthusiastic about the work that I do for this team.,I find the work that I do for this team full of meaning and purpose.,,,,,,
Team Effectiveness,Stakeholder Satisfaction,Stakeholders are generally happy with how fast this team responds to their needs.,Stakeholders are generally happy with the software this team delivers.,,,,,,,
Team Effectiveness,Stakeholders ( Team Value ),Our stakeholders compliment us with the value that we deliver to them.,,,,,,,,
Team Autonomy,Self Management,This team is able to choose the way to go about its work.,This team is free to choose the method(s) to use in carrying out work.,This team has control over the scheduling of teamwork.,,,,,,
Team Autonomy,Cross-Funtionality,Most people in this team have the ability to solve the problems that come up in their work.,Everyone in this team has more than enough training and experience for the kind of work they have to do.,,,,,,,
Management Support,Management Support,People in a management position help this team to understand why our work is important.,People in a management position encourage this team to make our own choices rather than being told what to do.,"People in a management position create an environment for this team to learn, experiment and improve.",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
