Category,Subcategory,Area,Base,Beginner,Intermediate,Advanced,Expert
Build & Integration,CI Pipeline,Build Automation,"Builds are triggered manually or only on specific branches. Developers often build locally and deploy from their machines.","CI exists but is fragile - builds break often and are not always investigated promptly. Some manual steps remain in the build process.","CI runs automatically on every push. Build failures are investigated within the same day. Build times are monitored.","CI is fast (<10 min), reliable (>95% green), and runs on every PR. Flaky tests are tracked and fixed proactively.","CI is optimized with caching, parallelization, and incremental builds. Build health is a team-level KPI visible to everyone."
Build & Integration,CI Pipeline,Build Observability,"No visibility into build health trends. Failures are noticed only when someone tries to deploy.","Basic build status is visible (pass/fail) but no historical trends or dashboards.","Build success rate, duration, and failure reasons are tracked over time. Team reviews build health periodically.","Build analytics are automated - trends, regressions, and slowdowns are surfaced proactively. Alerts on degradation.","Predictive build health - the team detects and fixes build degradation before it impacts developer flow."
Build & Integration,Code Review,Review Process,"Code reviews are optional or inconsistent. Some changes go to production without any peer review.","Code reviews happen for most changes but quality varies - some are rubber-stamps with no meaningful feedback.","All production changes require review. Reviews consistently check for correctness, readability, and test coverage.","Reviews are timely (<24h), thorough, and constructive. Review quality metrics are tracked (comments, cycles, time-to-approve).","Code review is a learning culture - reviews spread knowledge across the team. Junior devs grow measurably through review feedback."
Test & Verification,Test Strategy,Test Coverage,"Little or no automated testing. Manual testing before releases is the primary quality gate.","Some unit tests exist but coverage is low and inconsistent across the codebase. No integration or E2E tests.","Unit tests cover critical paths. Integration tests exist for key workflows. Test coverage is measured and visible.","Comprehensive test pyramid - unit, integration, and E2E tests with clear ownership. Coverage targets are set and met.","Test strategy is risk-based - coverage is prioritized by business impact. New features require tests before merge. Mutation testing or similar advanced techniques are used."
Test & Verification,Test Strategy,Test Reliability,"Tests are often skipped because they are slow or flaky. Nobody trusts the test suite fully.","Tests run but flaky tests are common. Developers re-run pipelines hoping for green. No systematic flaky test tracking.","Flaky tests are identified and fixed within a sprint. Test suite is generally trusted by the team.","Test suite is highly reliable (>98% deterministic). Flaky tests are quarantined automatically and fixed with priority.","Zero-tolerance for flaky tests. Test infrastructure is treated as a first-class product with its own quality standards."
Test & Verification,Quality Gates,Static Analysis & Security,"No static analysis or security scanning in the development process.","Static analysis tools exist but are not integrated into CI. Results are checked occasionally.","SAST and dependency scanning run automatically in CI. Critical findings block the merge.","Security scanning covers SAST, dependencies, and secrets detection. Findings are triaged and resolved within SLA.","Security is shift-left - developers get inline feedback in IDE. Vulnerability trends are tracked. Regular security reviews complement automated scanning."
Deploy & Release,Deployment,Deployment Frequency,"Releases happen rarely (monthly or less). Each release is a significant event requiring coordination.","Releases happen every 2-4 weeks, usually aligned with sprint boundaries. Some manual coordination required.","Releases happen weekly or more frequently. The process is mostly automated with minimal manual steps.","Multiple releases per week are routine. Any commit that passes CI can be released. Release is a non-event.","Continuous deployment - every merged PR is automatically deployed to production. No batching, no manual gates."
Deploy & Release,Deployment,Deployment Safety,"Deployments are risky - rollbacks require manual intervention and often cause downtime.","Basic rollback exists but is rarely tested. Deployments occasionally cause incidents.","Rollback procedures are documented and tested. Canary or blue-green deployments are used for critical services.","Zero-downtime deployments are standard. Feature flags decouple deploy from release. Rollback is automated and fast (<5 min).","Deployment safety is proactive - automated canary analysis, progressive rollouts, and automatic rollback on anomaly detection."
Deploy & Release,Change Management,Change Failure Rate,"High failure rate - hotfixes and emergency patches are frequent after releases. Root causes are rarely investigated.","Hotfixes happen regularly but the team acknowledges the pattern. Some post-incident reviews occur.","Change failure rate is measured. Post-incident reviews happen consistently and result in concrete preventive actions.","Low change failure rate (<10%). Most failures are caught in staging. Incident patterns are analyzed for systemic improvements.","Near-zero change failure rate. Proactive risk assessment before releases. Failure patterns from across the org inform preventive engineering."
Architecture & Design,Code Quality,Complexity Management,"No awareness of code complexity. Hot spots accumulate unchecked. Developers avoid touching certain parts of the codebase.","Some awareness of complex areas but no systematic tracking. Refactoring happens only when pain becomes unbearable.","Complexity hotspots are identified and tracked. The team allocates time for refactoring in sprint planning.","Complexity metrics are monitored automatically. Refactoring is continuous - the team improves code health every sprint as part of normal work.","Architecture fitness functions enforce complexity boundaries. Technical debt is quantified and managed as a product backlog item with business trade-offs."
